Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",185.700000,-55.600000,0.000000,top
"C2","10uF","C_1206_3216Metric",186.900000,-81.400000,90.000000,top
"C3","0.1uF","C_0603_1608Metric",185.900000,-57.500000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",186.600000,-84.502500,0.000000,top
"C5","0.1uF","C_0603_1608Metric",184.800000,-67.000000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",182.400000,-93.475000,90.000000,top
"C7","82p","C_0603_1608Metric",185.700000,-68.500000,0.000000,top
"C8","82p","C_0603_1608Metric",185.600000,-94.200000,0.000000,top
"C9","100uF","CP_EIA-7343-15_Kemet-W",177.500000,-55.150000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",178.100000,-60.300000,0.000000,top
"C11","100uF","CP_EIA-3528-12_Kemet-T",180.300000,-80.700000,90.000000,top
"C12","10uF","C_0805_2012Metric",180.300000,-84.100000,0.000000,top
"C13","10uF","C_0805_2012Metric",176.900000,-80.000000,0.000000,top
"C14","10uF","C_1206_3216Metric",162.600000,-60.700000,90.000000,top
"C15","0.1uF","C_0603_1608Metric",160.800000,-60.625000,90.000000,top
"C16","0.1uF","C_0603_1608Metric",155.000000,-77.859969,0.000000,top
"C17","0.1uF","C_0603_1608Metric",152.800000,-87.500000,-90.000000,top
"C18","0.1uF","C_0603_1608Metric",166.300000,-86.200000,-90.000000,top
"C19","0.1uF","C_0603_1608Metric",159.300000,-81.200000,180.000000,top
"C20","0.1uF","C_0603_1608Metric",171.900000,-73.100000,-90.000000,top
"C21","0.1uF","C_0603_1608Metric",160.800000,-73.800000,180.000000,top
"C22","10nF","C_0603_1608Metric",161.900000,-86.700000,-90.000000,top
"C23","10nF","C_0603_1608Metric",160.200000,-86.700000,-90.000000,top
"C24","10nF","C_0603_1608Metric",158.400000,-86.700000,-90.000000,top
"C25","0.1uF","C_0603_1608Metric",175.000000,-74.400000,90.000000,top
"C26","10nF","C_0603_1608Metric",173.500000,-74.400000,90.000000,top
"C27","0.1uF","C_0603_1608Metric",173.600000,-77.500000,180.000000,top
"C28","0.1uF","C_0603_1608Metric",149.400000,-78.600000,180.000000,top
"C29","0.1uF","C_0603_1608Metric",149.850000,-89.600000,180.000000,top
"C30","0.1uF","C_0603_1608Metric",149.000000,-68.000000,180.000000,top
"C31","0.1uF","C_0603_1608Metric",149.100000,-57.200000,180.000000,top
"C32","0.1uF","C_0603_1608Metric",169.300000,-86.300000,-90.000000,top
"C33","0.1uF","C_0603_1608Metric",117.462500,-77.600000,-90.000000,top
"C34","0.1uF","C_0603_1608Metric",139.100000,-77.600000,-90.000000,top
"C35","0.1uF","C_0603_1608Metric",105.700000,-72.200000,90.000000,top
"C36","0.1uF","C_0603_1608Metric",127.400000,-72.300000,90.000000,top
"C37","0.1uF","C_0603_1608Metric",110.000000,-78.600000,0.000000,top
"C38","0.1uF","C_0603_1608Metric",131.400000,-78.600000,0.000000,top
"C39","0.1uF","C_0603_1608Metric",113.200000,-71.400000,180.000000,top
"C40","0.1uF","C_0603_1608Metric",134.600000,-71.400000,180.000000,top
"C41","33nF","C_0603_1608Metric",172.900000,-81.700000,0.000000,top
"C42","33nF","C_0603_1608Metric",171.700000,-83.200000,0.000000,top
"C43","33nF","C_0603_1608Metric",172.900000,-80.200000,0.000000,top
"C44","33nF","C_0603_1608Metric",167.800000,-86.200000,-90.000000,top
"C45","10uF","C_0805_2012Metric",145.700000,-78.600000,0.000000,top
"C46","10uF","C_0805_2012Metric",146.400000,-89.400000,0.000000,top
"C47","10uF","C_0805_2012Metric",145.400000,-67.900000,0.000000,top
"C48","10uF","C_0805_2012Metric",145.600000,-57.200000,0.000000,top
"C49","1uF","C_0805_2012Metric",110.350000,-76.800000,0.000000,top
"C50","1uF","C_0805_2012Metric",131.800000,-76.800000,0.000000,top
"C51","1uF","C_0805_2012Metric",112.800000,-73.100000,180.000000,top
"C52","1uF","C_0805_2012Metric",134.100000,-73.100000,180.000000,top
"C53","10uF","C_1206_3216Metric",102.000000,-77.100000,90.000000,top
